trade_date,symbol,pclose,close,pct_change
2021-06-23,ARDOVA,15.5,15.5,
2021-06-23,BERGER,7.7,7.7,
2021-06-23,BETAGLAS,52.95,52.95,
2021-06-23,BOCGAS,10.55,10.55,
2021-06-23,BUACEMENT,70.0,70.0,
2021-06-23,CADBURY,8.0,8.0,
2021-06-23,CAP,19.0,19.0,
2021-06-23,CAVERTON,1.81,1.81,
2021-06-23,CHAMPION,2.05,2.05,
2021-06-23,CHAMS,0.21,0.21,
2021-06-23,CHELLARAM,2.24,2.24,
2021-06-23,CHIPLC,0.64,0.58,-9.37
2021-06-23,CILEASING,4.75,4.75,
2021-06-23,CONOIL,20.9,20.9,
2021-06-23,CORNERST,0.51,0.56,9.8
2021-06-23,COURTVILLE,0.21,0.2,-4.76
2021-06-23,CUSTODIAN,5.95,5.95,
2021-06-23,CUTIX,2.77,2.77,
2021-06-23,CWG,1.15,1.15,
2021-06-23,DAARCOMM,0.2,0.2,
2021-06-23,DANGCEM,230.0,230.0,
2021-06-23,DANGSUGAR,17.7,17.9,1.13
2021-06-23,ETERNA,7.65,7.65,
2021-06-23,ETI,5.15,5.05,-1.94
2021-06-23,ETRANZACT,2.25,2.06,-8.44
2021-06-23,EUNISELL,2.91,2.91,
2021-06-23,FBNH,7.15,7.1,-0.7
2021-06-23,FCMB,3.15,3.09,-1.9
2021-06-23,FIDELITYBK,2.28,2.3,0.88
2021-06-23,FIDSON,5.06,5.06,
2021-06-23,FLOURMILL,29.8,29.8,0.17
2021-06-23,FTNCOCOA,0.3,0.33,10.0
2021-06-23,GLAXOSMITH,6.05,6.05,
2021-06-23,GSPECPLC,4.19,4.19,
2021-06-23,GUINNESS,29.0,29.0,
2021-06-23,HONYFLOUR,1.4,1.44,2.86
2021-06-23,IKEJAHOTEL,0.91,1.0,9.89
2021-06-23,INTBREW,5.4,5.4,
2021-06-23,JAIZBANK,0.6,0.57,-5.0
2021-06-23,JAPAULGOLD,0.51,0.46,-9.8
2021-06-23,JBERGER,20.0,20.0,
2021-06-23,LASACO,1.37,1.37,
2021-06-23,LINKASSURE,0.55,0.6,9.09
2021-06-23,LIVESTOCK,1.8,1.8,1.67
2021-06-23,MANSARD,0.9,0.87,-3.33
2021-06-23,MAYBAKER,4.04,4.04,
2021-06-23,MBENEFIT,0.38,0.4,5.26
2021-06-23,MEYER,0.59,0.59,
2021-06-23,MORISON,1.36,1.4,2.94
2021-06-23,MRS,12.6,12.6,
2021-06-23,MTNN,165.0,165.0,
2021-06-23,NAHCO,2.25,2.25,
2021-06-23,NASCON,14.35,14.35,
2021-06-23,NB,59.2,59.2,
2021-06-23,NEIMETH,1.72,1.72,
2021-06-23,NEM,1.9,1.9,
2021-06-23,NESTLE,1400.0,1400.0,
2021-06-23,NNFM,6.15,6.15,
2021-06-23,NOTORE,62.5,62.5,
2021-06-23,NPFMCRFBK,1.9,1.89,-0.53
2021-06-23,OANDO,2.94,2.9,-1.36
2021-06-23,OKOMUOIL,105.5,105.5,
2021-06-23,PREMPAINTS,10.0,10.0,
2021-06-23,PRESCO,72.6,72.6,
2021-06-23,PZ,5.5,5.5,
2021-06-23,REDSTAREX,3.67,3.67,
2021-06-23,REGALINS,0.52,0.49,-5.77
2021-06-23,ROYALEX,0.7,0.63,-10.0
2021-06-23,SEPLAT,700.0,700.0,
2021-06-23,SKYAVN,3.16,3.16,
2021-06-23,SOVRENINS,0.26,0.25,-3.85
2021-06-23,STANBIC,39.55,39.55,
2021-06-23,STERLNBANK,1.61,1.59,-1.24
2021-06-23,SUNUASSUR,0.47,0.47,
2021-06-23,TOTAL,145.0,145.0,
2021-06-23,TRANSCOHOT,3.57,3.57,
2021-06-23,TRANSCORP,0.9,0.89,-1.11
