event_type,category,event_uid,announced_date,effective_date,publication_ts,scope,index_code,ticker,headline,outcome_numeric,outcome_text,severity,direction,structurally_impairing,source_url,notes
mpc_decision,monetary,CBN-MPC-2021-03-23,2021-03-23,2021-03-23,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2021-05-25,2021-05-25,2021-05-25,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2021-07-27,2021-07-27,2021-07-27,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2021-09-17,2021-09-17,2021-09-17,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2021-11-23,2021-11-23,2021-11-23,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2022-01-22,2022-01-22,2022-01-22,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2022-03-22,2022-03-22,2022-03-22,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2022-05-24,2022-05-24,2022-05-24,,market,,,MPC: MPR hike to 13.00%,13.0,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-287,2022-09-27,2022-09-27,,market,,,MPC #287: MPR hike to 15.50%,15.5,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 287; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-288,2022-11-22,2022-11-22,,market,,,MPC #288: MPR hike to 16.50%,16.5,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 288; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-289,2023-01-24,2023-01-24,,market,,,MPC #289: MPR hike to 17.50%,17.5,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 289; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-290,2023-03-21,2023-03-21,,market,,,MPC #290: MPR hike to 18.00%,18.0,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 290; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-291,2023-05-24,2023-05-24,,market,,,MPC #291: MPR hike to 18.50%,18.5,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 291; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-292,2023-07-25,2023-07-25,,market,,,MPC #292: MPR hike to 18.75%,18.75,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 292; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-293,2024-02-27,2024-02-27,,market,,,MPC #293: MPR hike to 22.75%,22.75,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 293; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-294,2024-03-26,2024-03-26,,market,,,MPC #294: MPR hike to 24.75%,24.75,hike +,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 294; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-295,2024-05-21,2024-05-21,,market,,,MPC #295: MPR hike to 26.25% (CRR 45.00%),26.25,hike +150bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 295; CRR_DMB=45.0
mpc_decision,monetary,CBN-MPC-296,2024-07-23,2024-07-23,,market,,,MPC #296: MPR hike to 26.75% (CRR 45.00%),26.75,hike +50bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 296; CRR_DMB=45.0
mpc_decision,monetary,CBN-MPC-297,2024-09-24,2024-09-24,,market,,,MPC #297: MPR hike to 27.25% (CRR 50.00%),27.25,hike +50bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 297; CRR_DMB=50.0
mpc_decision,monetary,CBN-MPC-299,2025-02-20,2025-02-20,,market,,,MPC #299: MPR retained at 27.50% (CRR 50.00%),27.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 299; CRR_DMB=50.0
mpc_decision,monetary,CBN-MPC-300,2025-05-20,2025-05-20,,market,,,MPC #300: MPR retained at 27.50% (CRR 50.00%),27.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 300; CRR_DMB=50.0
mpc_decision,monetary,CBN-MPC-301,2025-07-22,2025-07-22,,market,,,MPC #301: MPR retained at 27.50% (CRR 50.00%),27.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 301; CRR_DMB=50.0
mpc_decision,monetary,CBN-MPC-302,2025-09-23,2025-09-23,,market,,,MPC #302: MPR cut to 27.00% (CRR 45.00%),27.0,cut -50bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 302; CRR_DMB=45.0
mpc_decision,monetary,CBN-MPC-303,2025-11-25,2025-11-25,,market,,,MPC #303: MPR retained at 27.00% (CRR 45.00%),27.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 303; CRR_DMB=45.0
mpc_decision,monetary,CBN-MPC-304,2026-02-24,2026-02-24,,market,,,MPC #304: MPR cut to 26.50% (CRR 45.00%),26.5,cut -50bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 304; CRR_DMB=45.0
mpc_decision,monetary,CBN-MPC-305,2026-05-20,2026-05-20,,market,,,MPC #305: MPR retained at 26.50% (CRR 45.00%),26.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. 305; CRR_DMB=45.0
