ticker,first_observation,last_observation,years_observed,calendar_year_gaps,observations,current_security_present,canonical_instrument_id,canonical_mapping_status
INTENEGINS,2014-06-30,2026-08-07,10,3,2061,True,01a054a7-4be8-7d42-87a3-ef9f94e3e882,unique_current_alias
INTERLINK,2014-07-16,2021-05-10,8,0,383,True,01a054a7-4be8-78a3-bf9e-364df4664a26,unique_current_alias
IPWA,2014-07-02,2016-04-27,3,0,125,True,01a054a7-4be8-75b4-9cba-3d7ec3bbca21,unique_current_alias
JAIZBANK,2017-02-08,2026-08-07,10,0,4468,True,01a054a7-4be8-772b-b2cb-9c2823a1eba0,unique_current_alias
JAPAULGOLD,2020-12-14,2026-08-07,7,0,2627,True,01a054a7-4be8-72f2-b048-df107eeed123,unique_current_alias
JAPAULOIL,2014-06-30,2020-12-11,7,0,2682,True,01a054a7-4be8-7b34-a0c6-2aa367da9dcf,unique_current_alias
JBERGER,2014-06-30,2026-08-07,13,0,5663,True,01a054a7-4be8-7f2c-ab2a-e9a2db4f3225,unique_current_alias
JOHNHOLT,2014-07-01,2026-08-07,13,0,3986,True,01a054a7-4be8-7973-a5cf-61a630c79d79,unique_current_alias
JOSBREW,2014-06-30,2016-04-28,3,0,180,True,01a054a7-4be8-7dc7-b0f6-9666abedbbf2,unique_current_alias
JULI,2014-08-06,2026-08-07,13,0,1484,True,01a054a7-4be8-74e8-b07a-f6054030167b,unique_current_alias
LASACO,2014-07-02,2026-08-07,13,0,4605,True,01a054a7-4be8-7c9d-a755-0524dca14f2a,unique_current_alias
LAWUNION,2014-07-02,2020-10-15,7,0,1929,True,01a054a7-4be8-7364-95d8-c88a6863cd75,unique_current_alias
LEARNAFRCA,2014-06-30,2026-08-07,13,0,5434,True,01a054a7-4be8-7eae-873e-f9f32214c085,unique_current_alias
LEGENDINT,2025-04-24,2026-08-07,2,0,601,True,01a054a7-4be8-750d-8bc8-60a346fe4456,unique_current_alias
LENNARDS,2014-07-11,2016-11-28,3,0,82,True,01a054a7-4be9-77b1-84f4-ae00220d47fa,unique_current_alias
LINKASSURE,2014-07-14,2026-08-07,13,0,4609,True,01a054a7-4be9-7aa1-ba11-ea70de3312cc,unique_current_alias
LIVESTOCK,2014-06-30,2026-08-07,13,0,5702,True,01a054a7-4be9-7d81-aa90-28fb99c1a384,unique_current_alias
LIVINGTRUST,2021-01-18,2026-08-07,6,0,1422,True,01a054a7-4be9-79f6-812c-c3942d52c97e,unique_current_alias
LOTUSHAL15,2014-11-14,2026-06-02,7,6,304,True,01a054a7-4be9-7a39-94f9-ecd89d0d23e5,unique_current_alias
MANDRID,2014-07-14,2016-10-05,3,0,51,True,01a054a7-4be9-7509-82d2-9a9e00a21b1e,unique_current_alias
MANSARD,2014-06-30,2026-08-07,13,0,5595,True,01a054a7-4be9-77a5-bc61-0b64733a901a,unique_current_alias
MAYBAKER,2014-06-30,2026-08-07,13,0,5686,True,01a054a7-4be9-7a65-814e-12a1b69b056e,unique_current_alias
MBENEFIT,2014-06-30,2026-08-07,13,0,4390,True,01a054a7-4be9-7785-83ae-27c0c597bc6a,unique_current_alias
MCNICHOLS,2014-07-01,2026-08-07,13,0,3104,True,01a054a7-4be9-7b07-92a8-e894dd3984ca,unique_current_alias
MECURE,2023-11-10,2026-08-07,4,0,1244,True,01a054a7-4be9-7cda-b9a8-c22fc15f6397,unique_current_alias
MEDVIEWAIR,2017-01-31,2020-06-26,4,0,747,True,01a054a7-4be9-7d9c-b08a-f3d2a5726c44,unique_current_alias
MERGROWTH,2021-01-28,2026-08-06,4,2,243,True,01a054a7-4be9-7473-bc80-f5e216df2660,unique_current_alias
MERVALUE,2024-02-09,2026-08-07,3,0,264,True,01a054a7-4be9-7158-bc5e-c669ebd919d1,unique_current_alias
MEYER,2016-10-31,2026-08-07,11,0,2994,True,01a054a7-4be9-71ad-a154-216462006cd4,unique_current_alias
MOBIL,2014-06-30,2021-04-09,8,0,3238,True,01a054a7-4be9-73a4-99da-51366ba9c2d0,unique_current_alias
MOFIREIF,2025-11-11,2026-07-16,2,0,46,True,01a054a7-4be9-7e5d-ba2b-c821798cbf53,unique_current_alias
MORISON,2014-07-03,2026-08-07,13,0,2695,True,01a054a7-4be9-743d-a0e8-b4fd237a2de3,unique_current_alias
MRS,2014-06-30,2025-07-24,12,0,4769,True,01a054a7-4be9-753f-b05c-8eef8a85ac5b,unique_current_alias
MTI,2014-07-11,2017-04-06,4,0,100,True,01a054a7-4be9-795a-a5cf-1e1334e553c1,unique_current_alias
MTNN,2019-05-16,2026-08-07,8,0,3390,True,01a054a7-4be9-736b-9a3e-c30fe6c47ac7,unique_current_alias
MULTITREX,2014-07-21,2018-10-11,5,0,266,True,01a054a7-4be9-7732-95b0-9ef65df51185,unique_current_alias
MULTIVERSE,2014-07-01,2026-08-07,13,0,3482,True,01a054a7-4be9-7927-9ec4-7b32cbfaaf60,unique_current_alias
NAHCO,2014-06-30,2026-08-07,13,0,5708,True,01a054a7-4be9-7435-82ad-fab170055f94,unique_current_alias
NASCON,2014-06-30,2026-08-07,13,0,5710,True,01a054a7-4be9-78ec-8756-56ed1d5c77a3,unique_current_alias
NB,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4be9-7cae-8264-3779110099a5,unique_current_alias
NCR,2014-07-03,2026-08-07,13,0,2827,True,01a054a7-4be9-7bb7-a9fa-6a10d86531f1,unique_current_alias
NEIMETH,2014-06-30,2026-08-07,13,0,5470,True,01a054a7-4be9-7071-887d-13a4621cb0f2,unique_current_alias
NEM,2014-06-30,2026-08-07,13,0,5667,True,01a054a7-4bea-7daf-8765-ffbd453530a1,unique_current_alias
NESF,2014-07-03,2024-02-13,11,0,374,True,01a054a7-4bea-79e4-bb88-ac004c611982,unique_current_alias
NESTLE,2014-06-30,2026-08-07,13,0,5709,True,01a054a7-4bea-7738-af09-d8c825fde6bd,unique_current_alias
NEWGOLD,2015-10-09,2026-08-07,12,0,529,True,01a054a7-4bea-71d7-b4b1-2d57b531e396,unique_current_alias
NGXGROUP,2021-10-15,2026-08-07,6,0,2213,True,01a054a7-4bea-756c-b77b-bf41c3ca6f9e,unique_current_alias
NIDF,2023-10-05,2026-08-07,4,0,1317,True,01a054a7-4bea-718a-a107-ef5595bb87fd,unique_current_alias
NIG-GERMAN,2014-07-02,2017-10-03,4,0,348,True,01a054a7-4bea-75b8-a11a-61813546b729,unique_current_alias
NIGERINS,2014-06-30,2022-06-27,9,0,2057,True,01a054a7-4bea-72b8-982d-2f59356a2270,unique_current_alias
NIGROPES,2014-07-01,2016-09-28,3,0,67,True,01a054a7-4bea-72fc-ab50-7d8ed1099d80,unique_current_alias
NIWICABLE,2014-06-30,2015-07-13,2,0,62,True,01a054a7-4bea-7da5-914c-731d005a3664,unique_current_alias
NNFM,2014-06-30,2026-08-07,13,0,4011,True,01a054a7-4bea-7413-ad5e-545db6f64882,unique_current_alias
NOTORE,2018-08-02,2025-06-02,8,0,681,True,01a054a7-4bea-7661-bf76-51d3877acfb3,unique_current_alias
NPFMCRFBK,2014-06-30,2026-08-07,13,0,5410,True,01a054a7-4bea-778d-82d7-88ea4ed497ce,unique_current_alias
NREIT,2026-01-02,2026-08-07,1,0,277,True,01a054a7-4bea-7b69-82c3-f6a86edb26a2,unique_current_alias
NSLTECH,2014-07-03,2026-08-07,13,0,2036,True,01a054a7-4bea-7fdd-9314-8e16eaf78742,unique_current_alias
OANDO,2014-06-30,2026-08-07,13,0,5693,True,01a054a7-4bea-718d-9531-76c4d6286410,unique_current_alias
OASISINS,2014-06-30,2014-07-03,1,0,8,True,01a054a7-4bea-7789-9150-870d5d92b276,unique_current_alias
OKOMUOIL,2014-06-30,2026-08-07,13,0,5710,True,01a054a7-4bea-77a7-9f75-0d1809a9ac60,unique_current_alias
OMATEK,2014-06-30,2026-08-07,11,2,2046,True,01a054a7-4bea-7df5-87f1-2e4f3a01fdac,unique_current_alias
OMOMORBNK,2017-02-08,2020-11-06,4,0,66,True,01a054a7-4bea-7eb8-8d93-81315d85c3ae,unique_current_alias
OMOSAVBNK,2014-11-05,2017-01-17,4,0,69,True,01a054a7-4bea-71d8-9872-74c4e0701d5b,unique_current_alias
PAINTCOM,2014-07-15,2018-05-28,5,0,569,True,01a054a7-4bea-7e7f-a3b0-38bc64df3a43,unique_current_alias
PHARMDEKO,2014-07-01,2023-07-10,10,0,1617,True,01a054a7-4bea-73ed-b0dc-0c4f0a04f4e9,unique_current_alias
PORTPAINT,2014-06-30,2021-06-30,8,0,1712,True,01a054a7-4bea-70f8-bdb0-b721b561b62c,unique_current_alias
PREMBREW,2014-06-30,2016-11-25,3,0,333,True,01a054a7-4bea-7388-a72e-c2cd4dd07d26,unique_current_alias
PREMPAINTS,2014-07-30,2026-08-07,10,3,624,True,01a054a7-4bea-783f-8e12-d364761cbd37,unique_current_alias
PRESCO,2014-06-30,2026-08-07,13,0,5664,True,01a054a7-4bea-7472-b63b-9bb6e4624925,unique_current_alias
PRESTIGE,2014-06-30,2026-08-07,13,0,4277,True,01a054a7-4bea-71d4-9339-58d3789df6a1,unique_current_alias
PZ,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4beb-731d-aab1-19aea66ca285,unique_current_alias
RAKUNITY,2016-08-30,2020-10-12,5,0,31,True,01a054a7-4beb-72d5-92ee-3c4d88fc6347,unique_current_alias
REDSTAREX,2014-06-30,2026-08-07,13,0,5472,True,01a054a7-4beb-72c6-9c8d-4d251adfc418,unique_current_alias
REGALINS,2014-07-02,2026-08-07,13,0,3984,True,01a054a7-4beb-701e-8c9a-a3d16c57ae97,unique_current_alias
RESORTSAL,2014-07-01,2019-07-01,4,2,340,True,01a054a7-4beb-75fd-93b3-ce06509a150d,unique_current_alias
ROADS,2014-07-15,2017-09-25,4,0,250,True,01a054a7-4beb-7a64-832a-8c5d06fe341f,unique_current_alias
ROKANA,2014-08-12,2016-04-27,3,0,10,True,01a054a7-4beb-7932-86af-8c2d3f8641c4,unique_current_alias
ROYALEX,2014-06-30,2026-08-07,13,0,4263,True,01a054a7-4beb-7c86-875c-5a34f26c251b,unique_current_alias
RTBRISCOE,2014-06-30,2026-08-07,13,0,3814,True,01a054a7-4beb-7ebe-baa8-f8e2e79f7108,unique_current_alias
SCOA,2014-07-14,2026-08-07,13,0,2950,True,01a054a7-4beb-79cd-80be-37fc87c455d0,unique_current_alias
SEPLAT,2014-06-30,2026-08-07,13,0,5647,True,01a054a7-4beb-7dba-aca8-df56926d3693,unique_current_alias
SFSREIT,2020-02-20,2026-08-07,7,0,2137,True,01a054a7-4beb-7b55-8ad7-dcde9204bb6c,unique_current_alias
SIAMLETF40,2022-01-19,2026-08-06,5,0,216,True,01a054a7-4beb-7403-b8dd-85ca263f2049,unique_current_alias
SIMCAPVAL,2015-07-24,2015-08-18,1,0,4,True,01a054a7-4beb-76fa-bed6-581c63da8f67,unique_current_alias
SKYAVN,2019-04-24,2026-08-07,8,0,2540,True,01a054a7-4beb-7594-a6ef-6703db55731b,unique_current_alias
SKYEBANK,2014-06-30,2018-09-21,5,0,2006,True,01a054a7-4beb-7a79-b29f-6c5c8069d9c4,unique_current_alias
SKYESHELT,2014-07-22,2020-01-29,7,0,358,True,01a054a7-4beb-71b9-bf52-0a4043c35e05,unique_current_alias
SMURFIT,2014-11-10,2025-09-08,12,0,157,True,01a054a7-4beb-7959-9689-51ba123cfc74,unique_current_alias
SOVRENINS,2014-06-30,2026-08-07,13,0,4195,True,01a054a7-4beb-70ca-8dcc-68acefbfb18c,unique_current_alias
STACO,2014-07-01,2018-07-04,5,0,691,True,01a054a7-4beb-76c3-8283-c69a3c311aa5,unique_current_alias
STANBIC,2014-06-30,2026-08-07,13,0,5714,True,01a054a7-4beb-769f-a4a9-bc9895304dd6,unique_current_alias
STANBICETF30,2017-06-30,2026-08-07,8,2,575,True,01a054a7-4beb-75b6-bf4c-77d3e34ec8de,unique_current_alias
STDINSURE,2014-07-02,2019-06-28,6,0,968,True,01a054a7-4beb-75f0-ab9f-373f64a150b2,unique_current_alias
STERLINGNG,2023-04-06,2026-08-07,4,0,1543,True,01a054a7-4beb-763c-ba3f-0d1e2df7b964,unique_current_alias
STERLNBANK,2014-06-30,2023-03-29,10,0,4157,True,01a054a7-4beb-7df3-8da7-a1f57c16b6db,unique_current_alias
STUDPRESS,2014-07-14,2021-11-26,8,0,681,True,01a054a7-4beb-7023-b7e4-bd94362f7877,unique_current_alias
SUNUASSUR,2018-08-20,2026-08-07,9,0,2817,True,01a054a7-4beb-7e9e-b216-583b77293787,unique_current_alias
TAJSUKS1,2026-04-01,2026-07-15,1,0,6,True,01a054a7-4bec-7d97-bfe9-592d86b88809,unique_current_alias
